date,league,home_team,away_team,predicted,actual,correct,home_prob,draw_prob,away_prob,home_odds,draw_odds,away_odds
2026-01-17,Bundesliga,Hamburger SV,Borussia Mönchengladbach,Home Win,Draw,False,0.565,0.252,0.183,1.7699115044247788,3.9682539682539684,5.46448087431694
2026-01-17,Bundesliga,TSG Hoffenheim,Bayer 04 Leverkusen,Home Win,Home Win,True,0.585,0.22399999999999998,0.191,1.7094017094017095,4.464285714285714,5.2356020942408374
2026-01-17,Bundesliga,VfL Wolfsburg,Heidenheim,Home Win,Draw,False,0.402,0.272,0.326,2.487562189054726,3.676470588235294,3.067484662576687
2026-01-17,Premier League,Chelsea,Brentford,Home Win,Home Win,True,0.536,0.255,0.209,1.8656716417910446,3.9215686274509802,4.784688995215311
2026-01-17,Premier League,Leeds United,Fulham,Home Win,Home Win,True,0.41200000000000003,0.27399999999999997,0.314,2.4271844660194173,3.649635036496351,3.1847133757961785
2026-01-17,Premier League,Liverpool,Burnley,Home Win,Draw,False,0.7190000000000001,0.161,0.12,1.3908205841446453,6.211180124223603,8.333333333333334
2026-01-17,Premier League,Sunderland,Crystal Palace,Home Win,Home Win,True,0.515,0.263,0.221,1.941747572815534,3.8022813688212924,4.524886877828054
2026-01-17,Premier League,Tottenham Hotspur,West Ham United,Home Win,Away Win,False,0.596,0.23199999999999998,0.172,1.6778523489932886,4.310344827586207,5.813953488372094
2026-01-17,Pro League,Zulte-Waregem,Genk,Home Win,Home Win,True,0.535,0.253,0.212,1.8691588785046729,3.952569169960474,4.716981132075472
2026-01-17,Championship,Charlton Athletic,Sheffield United,Home Win,Home Win,True,0.5720000000000001,0.24100000000000002,0.188,1.7482517482517481,4.149377593360995,5.319148936170213
2026-01-18,Eredivisie,SC Heerenveen,FC Groningen,Home Win,Away Win,False,0.562,0.256,0.182,1.779359430604982,3.90625,5.4945054945054945
2026-01-18,Serie A,Parma,Genoa,Home Win,Draw,False,0.47700000000000004,0.275,0.248,2.0964360587002093,3.6363636363636362,4.032258064516129
2026-01-18,Super Lig,Kasımpaşa,Antalyaspor,Home Win,Draw,False,0.506,0.281,0.213,1.976284584980237,3.558718861209964,4.694835680751174
2026-01-18,Pro League,Gent,Anderlecht,Home Win,Home Win,True,0.532,0.254,0.214,1.8796992481203008,3.937007874015748,4.672897196261682
2026-01-18,La Liga,Getafe,Valencia,Home Win,Away Win,False,0.47200000000000003,0.32,0.20800000000000002,2.11864406779661,3.125,4.8076923076923075
2026-01-18,La Liga 2,Mirandés,FC Andorra,Away Win,Away Win,True,0.326,0.298,0.376,3.067484662576687,3.3557046979865772,2.6595744680851063
2026-01-18,Super League,Servette,Zürich,Away Win,Draw,False,0.207,0.262,0.531,4.830917874396135,3.8167938931297707,1.8832391713747645
2026-01-18,Eredivisie,FC Volendam,FC Utrecht,Home Win,Home Win,True,0.525,0.22699999999999998,0.248,1.9047619047619047,4.405286343612335,4.032258064516129
2026-01-18,Eredivisie,Heracles Almelo,FC Twente,Away Win,Away Win,True,0.308,0.287,0.405,3.2467532467532467,3.4843205574912894,2.4691358024691357
2026-01-18,Serie A,Bologna,Fiorentina,Home Win,Away Win,False,0.532,0.271,0.19699999999999998,1.8796992481203008,3.6900369003690034,5.0761421319796955
2026-01-18,Premier League,Wolverhampton Wanderers,Newcastle United,Away Win,Draw,False,0.294,0.249,0.457,3.4013605442176873,4.016064257028113,2.1881838074398248
2026-01-18,Ligue 1,Strasbourg,Metz,Home Win,Home Win,True,0.644,0.21100000000000002,0.145,1.5527950310559007,4.7393364928909945,6.8965517241379315
2026-01-18,Super Lig,Gençlerbirliği,Samsunspor,Home Win,Draw,False,0.5770000000000001,0.251,0.172,1.7331022530329288,3.9840637450199203,5.813953488372094
2026-01-18,Super Lig,Kocaelispor,Trabzonspor,Home Win,Away Win,False,0.434,0.278,0.289,2.3041474654377883,3.597122302158273,3.4602076124567476
2026-01-18,Serie B,Pescara,Modena,Away Win,Away Win,True,0.289,0.284,0.426,3.4602076124567476,3.5211267605633805,2.347417840375587
2026-01-18,Bundesliga,VfB Stuttgart,FC Union Berlin,Home Win,Draw,False,0.5760000000000001,0.251,0.172,1.736111111111111,3.9840637450199203,5.813953488372094
2026-01-18,Pro League,Dender,Antwerp,Home Win,Home Win,True,0.37200000000000005,0.26899999999999996,0.358,2.6881720430107525,3.7174721189591082,2.793296089385475
2026-01-18,La Liga,Atlético Madrid,Deportivo Alavés,Home Win,Home Win,True,0.693,0.156,0.151,1.443001443001443,6.410256410256411,6.622516556291391
2026-01-18,La Liga 2,Racing Santander,Las Palmas,Home Win,Home Win,True,0.569,0.255,0.17600000000000002,1.7574692442882252,3.9215686274509802,5.681818181818182
2026-01-18,Super League,Grasshopper,Thun,Away Win,Away Win,True,0.25,0.23,0.52,4.0,4.3478260869565215,1.923076923076923
2026-01-18,Super League,Basel,Sion,Away Win,Draw,False,0.337,0.233,0.43,2.9673590504451037,4.291845493562231,2.3255813953488373
2026-01-18,Liga Portugal,Santa Clara,Famalicão,Home Win,Away Win,False,0.39799999999999996,0.294,0.308,2.512562814070352,3.4013605442176873,3.2467532467532467
2026-01-18,Eredivisie,Feyenoord,Sparta Rotterdam,Home Win,Away Win,False,0.703,0.158,0.139,1.4224751066856332,6.329113924050633,7.194244604316546
2026-01-18,Ligue 1,Nantes,Paris,Away Win,Away Win,True,0.32799999999999996,0.298,0.373,3.0487804878048785,3.3557046979865772,2.680965147453083
2026-01-18,Ligue 1,Rennes,Le Havre,Home Win,Draw,False,0.565,0.235,0.2,1.7699115044247788,4.25531914893617,5.0
