season_id,team_id,position,points,played
18441,3513,19,31,38
18441,3562,20,31,52
19745,591,1,85,0
19745,271,2,84,0
19745,44,3,73,0
19745,598,4,68,0
19745,690,5,67,0
19745,6789,6,65,0
19745,79,7,62,0
19745,6898,8,59,0
19745,450,9,58,0
19745,9257,10,55,0
19745,1028,11,51,0
19745,581,12,50,0
19745,289,13,48,0
19745,266,14,44,0
19745,686,15,40,0
19745,59,16,36,0
19745,3682,17,35,0
19745,524,18,26,0
19745,7047,19,24,0
19745,776,20,18,0
21779,591,1,76,9
21779,6789,2,67,17
21779,266,3,61,53
21779,690,4,59,5
21779,450,5,55,24
21779,79,6,53,53
21779,271,7,51,19
21779,44,8,50,36
21779,1028,9,47,8
21779,598,10,46,17
21779,289,11,43,11
21779,581,12,41,18
21779,686,13,39,6
21779,59,14,33,34
21779,1055,15,32,45
21779,3513,16,29,29
21779,9257,17,29,17
21779,6898,18,25,27
23643,591,1,84,12
23643,44,2,65,33
23643,6789,3,61,12
23643,450,4,60,6
23643,690,5,60,17
23643,79,6,57,21
23643,686,7,57,2
23643,271,8,52,5
23643,266,9,50,52
23643,289,10,42,34
23643,3682,11,42,17
23643,598,12,41,4
23643,59,13,36,6
23643,776,14,36,10
23643,1055,15,34,8
23643,1028,16,33,-14
23643,108,17,30,15
23643,581,18,16,79
25651,271,1,43,0
25651,591,2,42,1
25651,44,3,35,15
25651,690,4,32,13
25651,598,5,31,3
25651,79,6,30,17
25651,686,7,27,7
25651,289,8,26,29
25651,6789,9,23,33
25651,266,10,22,4
25651,776,11,22,6
25651,9257,12,22,18
25651,4508,13,19,12
25651,1055,14,19,5
25651,450,15,18,35
25651,59,16,14,9
25651,3682,17,12,3
25651,3513,18,12,1
16029,8,1,13,13
16029,503,1,18,24
16029,83,1,14,6
16029,9,1,14,16
16029,591,1,16,17
16029,625,1,16,4
16029,214,1,11,9
16029,277,1,11,10
16029,3468,2,11,14
16029,6,2,10,18
16029,597,2,12,0
16029,68,2,10,8
16029,79,2,8,9
16029,708,2,7,8
16029,18,2,11,1
16029,7980,2,10,8
16029,340,3,3,12
16029,629,3,10,6
16029,602,3,4,14
16029,621,3,6,3
16029,49,3,7,16
16029,3321,3,6,5
16029,2930,3,7,1
16029,605,3,7,10
16029,216,4,2,4
16029,2963,4,7,7
16029,2673,4,3,3
16029,674,4,5,10
16029,690,4,1,2
16029,34,4,2,1
16029,2709,4,1,5
16029,490,4,3,6
17299,625,1,15,0
17299,68,1,13,0
17299,18,1,14,0
17299,9,1,16,0
17299,503,1,16,0
17299,591,1,12,0
17299,8,1,13,0
17299,3468,1,10,0
17299,7980,2,9,0
17299,652,2,13,0
17299,708,2,11,0
17299,676,2,13,0
17299,43,2,10,0
17299,83,2,15,0
17299,277,2,12,0
17299,683,2,8,0
17299,340,3,8,0
17299,629,3,7,0
17299,556,3,4,0
17299,602,3,3,0
17299,49,3,4,0
17299,621,3,8,0
17299,14,3,9,0
17299,2645,3,5,0
17299,3702,4,3,0
17299,2963,4,1,0
17299,490,4,3,0
17299,598,4,1,0
17299,2930,4,6,0
17299,112,4,1,0
17299,44,4,3,0
17299,939,4,2,0
18346,3468,1,15,0
18346,9,1,12,0
18346,503,1,18,0
18346,625,1,15,0
18346,8,1,18,0
18346,690,1,11,0
18346,629,1,18,0
18346,14,1,11,0
18346,58,2,9,0
18346,591,2,11,0
18346,2930,2,10,0
18346,605,2,8,0
18346,3477,2,10,0
18346,49,2,10,0
18346,18,2,13,0
18346,7980,2,7,0
18346,277,3,7,0
18346,652,3,5,0
18346,2963,3,5,0
18346,68,3,9,0
18346,627,3,7,0
18346,676,3,6,0
18346,83,3,7,0
18346,708,3,6,0
18346,556,4,1,0
18346,340,4,4,0
18346,647,4,5,0
18346,113,4,4,0
18346,510,4,5,0
18346,621,4,2,0
18346,354,4,1,0
18346,554,4,0,0
19699,652,1,12,6
19699,605,1,14,3
19699,9,1,14,1
19699,6,1,11,6
19699,18,1,13,3
19699,597,1,15,0
19699,503,1,18,6
19699,3468,1,13,0
19699,68,2,9,5
19699,113,2,10,12
19699,340,2,11,1
19699,2930,2,10,10
19699,8,2,15,17
19699,366,2,10,1
19699,591,2,14,7
19699,277,2,12,6
19699,676,3,5,5
19699,3321,3,5,6
19699,621,3,6,2
19699,629,3,6,5
19699,49,3,6,2
19699,83,3,7,3
19699,58,3,7,6
19699,625,3,3,9
19699,62,4,0,0
19699,3545,4,0,6
19699,674,4,4,4
19699,85,4,3,0
19699,7980,4,5,3
19699,53,4,2,6
19699,44,4,6,8
19699,571,4,3,-14
21638,594,1,12,0
21638,503,1,16,6
21638,9,1,18,6
21638,7980,1,14,4
21638,19,1,13,1
21638,68,1,11,0
21638,3468,1,18,0
21638,83,1,12,0
21638,277,2,12,3
21638,591,2,8,1
21638,682,2,9,8
21638,85,2,8,8
21638,652,2,12,15
21638,597,2,10,4
21638,43,2,10,0
21638,2930,2,12,7
21638,271,3,8,6
21638,113,3,8,4
21638,884,3,4,2
21638,647,3,4,4
21638,621,3,9,3
21638,34,3,5,3
21638,605,3,4,3
21638,73,3,6,9
21638,2673,4,1,5
21638,49,4,4,4
21638,20,4,5,1
21638,1079,4,2,10
21638,14,4,4,3
21638,328,4,3,0
21638,676,4,2,3
21638,53,4,4,0
23619,8,1,21,7
23619,83,2,19,4
23619,19,3,19,7
23619,2930,4,19,1
23619,7980,5,18,2
23619,3321,6,16,2
23619,690,7,16,16
23619,15,8,16,4
23619,708,9,15,2
23619,68,10,15,5
23619,3468,11,15,6
23619,503,12,15,8
23619,113,13,15,5
23619,682,14,14,5
23619,591,15,13,7
23619,605,16,13,9
23619,6789,17,13,8
23619,266,18,13,3
23619,73,19,13,12
23619,625,20,12,0
23619,53,21,12,0
23619,9,22,11,3
23619,58,23,11,1
23619,340,24,11,11
23619,674,25,11,2
23619,3319,26,10,2
23619,621,27,7,8
23619,8513,28,6,1
23619,2673,29,6,11
23619,3357,30,6,2
23619,2727,31,4,1
23619,277,32,3,1
23619,231,33,3,4
23619,49,34,3,7
23619,2417,35,0,0
23619,647,36,0,0
25580,19,1,18,3
25580,503,2,15,2
25580,591,3,13,3
25580,9,4,13,6
25580,708,5,13,1
25580,2930,6,12,7
25580,3468,7,12,7
25580,7980,8,12,15
25580,8,9,12,3
25580,68,10,11,10
25580,6,11,11,6
25580,20,12,10,6
25580,18,13,10,3
25580,58,14,10,14
25580,83,15,10,15
25580,44,16,9,3
25580,625,17,9,3
25580,34,18,9,3
25580,6789,19,9,6
25580,3321,20,9,3
25580,682,21,8,8
25580,5317,22,7,22
25580,597,23,7,6
25580,85,24,7,1
25580,605,25,6,-2
25580,8119,26,6,26
25580,3958,27,6,11
25580,13258,28,5,9
25580,602,29,5,6
25580,366,30,4,0
25580,340,31,4,0
25580,1668,32,3,-4
25580,216,33,3,2
25580,629,34,3,0
25580,3477,35,1,6
25580,3108,36,1,4
16030,14,1,13,0
16030,468,1,13,0
16030,19,1,11,0
16030,884,1,14,0
16030,528,1,11,0
16030,3702,1,10,0
16030,53,1,13,0
16030,3369,1,13,0
16030,354,1,11,0
16030,2402,1,12,0
16030,652,1,10,0
16030,676,1,15,0
16030,85,2,9,0
16030,58,2,12,0
16030,3599,2,12,0
16030,62,2,9,0
16030,366,2,9,0
16030,2742,2,8,0
16030,106,2,12,0
16030,61,2,9,0
16030,510,2,11,0
16030,29,2,13,0
16030,2604,2,10,0
16030,37,2,9,0
16030,682,3,8,0
16030,647,3,8,0
16030,683,3,8,0
16030,2736,3,8,0
16030,108,3,4,0
16030,2417,3,4,0
16030,43,3,6,0
16030,556,3,7,0
16030,700,3,8,0
16030,5317,3,5,0
16030,112,3,7,0
16030,2645,3,9,0
16030,543,4,5,0
16030,688,4,1,0
16030,13775,4,3,0
16030,1335,4,1,0
16030,1401,4,4,0
16030,598,4,4,0
16030,5909,4,3,0
16030,3668,4,3,0
16030,830,4,5,0
16030,554,4,3,0
16030,73,4,5,0
16030,3787,4,5,0
17367,42,1,13,0
17367,597,1,11,0
17367,6,1,13,0
17367,2726,1,16,0
17367,674,1,14,0
17367,19,1,18,0
17367,3321,1,15,0
17367,37,1,13,0
17367,113,1,13,0
17367,62,1,14,0
17367,682,1,12,0
17367,3477,1,16,0
17367,647,2,10,0
17367,2997,2,11,0
17367,216,2,12,0
17367,3787,2,10,0
17367,884,2,13,0
17367,328,2,12,0
17367,2673,2,11,0
17367,103,2,11,0
17367,605,2,12,0
17367,290,2,10,0
17367,594,2,9,0
17367,690,2,11,0
17367,3369,3,10,0
17367,463,3,7,0
17367,392,3,5,0
17367,3678,3,7,0
17367,516,3,6,0
17367,700,3,4,0
17367,649,3,6,0
17367,365,3,6,6
17367,73,3,5,0
17367,6255,3,6,0
17367,2727,3,6,0
17367,61,3,8,0
17367,368,4,4,0
17367,302,4,3,0
17367,2402,4,0,0
17367,781,4,3,0
17367,450,4,3,6
17367,1311,4,0,0
17367,3358,4,4,0
17367,53,4,4,0
17367,2742,4,0,6
17367,5317,4,1,6
17367,3599,4,5,0
17367,543,4,3,0
18629,34,1,12,0
18629,366,1,12,0
18629,2712,1,10,0
18629,6789,1,12,0
18629,79,1,16,0
18629,1,1,13,0
18629,3321,1,13,0
18629,2673,1,11,0
18629,597,2,10,0
18629,594,2,9,0
18629,602,2,9,0
18629,43,2,9,0
18629,884,2,10,0
18629,485,2,10,0
18629,674,2,10,0
18629,62,2,8,0
18629,42,3,8,0
18629,682,3,8,0
18629,939,3,9,0
18629,88,3,6,0
18629,2727,3,7,0
18629,53,3,9,0
18629,3678,3,6,0
18629,44,3,7,0
18629,112,4,3,0
18629,2709,4,5,0
18629,2742,4,2,0
18629,3357,4,2,0
18629,490,4,2,0
18629,293,4,2,0
18629,328,4,5,0
18629,349,4,6,0
20090,3958,1,13,3
20090,3543,1,14,1
20090,88,1,14,4
20090,594,1,15,1
20090,6789,1,10,6
20090,19,1,15,15
20090,485,1,16,3
20090,73,1,8,6
20090,598,2,12,0
20090,1079,2,12,3
20090,112,2,10,1
20090,59,2,9,1
20090,682,2,13,2
20090,14,2,15,3
20090,939,2,8,0
20090,37,2,10,1
20090,43,3,8,2
20090,726,3,5,1
20090,2742,3,7,-1
20090,5317,3,8,0
20090,688,3,9,3
20090,1668,3,4,3
20090,884,3,10,1
20090,627,3,6,6
20090,368,4,0,6
20090,3357,4,8,7
20090,2673,4,6,2
20090,556,4,1,5
20090,354,4,0,-8
20090,602,4,2,0
20090,389,4,3,6
20090,724,4,1,0
